00	‘Abasān al Jadīdah	31.34158	34.34592	82	296
00	Ad Dayrāt	31.4438	35.16352	725	297
00	Al Bādhān	32.25857	35.33247	104	297
00	Al Buq‘ah	31.54199	35.14279	975	297
00	Al Buwayb	31.46396	35.15227	814	297
00	Al Buwayrah	31.48794	35.11665	803	297
00	Al Ḩīlah	31.47454	35.10742	790	297
00	Al Ka‘ābinah (Tajammu‘ Badawī)	31.80725	35.3277	247	297
00	Al Khuljān	32.45428	35.14427	294	297
00	Al Manīyah	31.61851	35.22115	787	297
00	Al Ma‘şarah	31.65534	35.17928	892	297
00	Al ‘Ubaydīyah	31.71697	35.29007	508	297
00	‘Arab al Furayjāt	31.35638	34.92072	464	297
00	‘Arab al Jahālīn	31.75926	35.285	550	297
00	‘Arab ar Rashāydah	31.57112	35.23227	599	297
00	Aş Şūrrah	31.47097	34.99897	829	297
00	Ath Thaghrah	32.33004	35.38979	336	297
00	‘Ayn al Bayḑā	32.38051	35.50838	-171	297
00	Az Za‘ayyim	31.78852	35.26511	656	297
00	Az Zubaydāt	32.1733	35.53005	-261	297
00	Badiw al Mu‘arrajāt	31.92548	35.31833	670	297
00	Banī Zayd	32.03924	35.10316	480	297
00	Bayt ‘Īnūn	31.5587	35.1244	967	297
00	Dayr Sāmit	31.52057	34.97442	445	297
00	Ḩadb al ‘Alqah	31.4555	34.99493	740	297
00	Ḩattā	31.6188	35.02361	468	297
00	‘Izbat Salmān	32.14222	34.99829	113	297
00	Khallat ad Dār	31.49737	35.11362	880	297
00	Khallat al Lūzah	31.6737	35.20272	737	297
00	Khallat an Nu‘mān	31.71749	35.24227	621	297
00	Khallat Şāliḩ	31.42013	35.11516	770	297
00	Khashm ad Daraj	31.41627	35.23948	534	297
00	Khursā	31.48232	35.01742	844	297
00	Marāḩ Ma‘allā	31.64925	35.17478	905	297
00	Umm ad Daraj	31.44538	35.20071	666	297
00	Umm al Khayr	31.42544	35.1957	676	297
00	Umm Dār	32.4571	35.13661	306	297
00	Umm Laşafā	31.43597	35.15613	747	297
00	Wādī an Nīş	31.65387	35.16152	900	297
00	Wādī ash Shājinah	31.47057	35.03151	775	297
00	Wādī Raḩḩāl	31.66516	35.16727	911	297
00	Zīf	31.46693	35.13671	841	297
GZ	‘Abasān al Kabīrah	31.31913	34.34005	71	296
GZ	Al Burayj	31.43944	34.40306	40	296
GZ	Al Fukhkhārī	31.29278	34.33061	68	296
GZ	Al Mughrāqah	31.46587	34.41208	14	296
GZ	Al Muşaddar	31.41052	34.37802	42	296
GZ	Al Qarārah	31.37389	34.34085	40	296
GZ	An Naşr	31.28137	34.30253	62	296
GZ	An Nuşayrāt	31.44861	34.3925	33	296
GZ	Ar Rām wa Ḑāḩiyat al Barīd	31.84945	35.2342	750	297
GZ	Az Zuwāydah	31.43954	34.38053	34	296
